Stockist ID,Name,Address line 1,Address line 2,City,State/Province,Postal code,Country,Phone,Website,Email,Logo URL,Notes,Priority,Visible,Naked & Famous Denim Flagship Stores
loc_8g6r8gx6,Outlooks for Men,115 - 3531 Uptown Boulevard,,Victoria,BC,V8Z 0B9,Canada,(758) 432-2848,https://www.outlooksformen.com/,,,,,Yes,
loc_mge9kgrv,Outlooks for Men ,534 Yates St.,,Victoria,BC,V8W1K8,Canada,250) 384-2848,https://www.outlooksformen.com/,,,,,Yes,
loc_wgqvv2kx,Porterhouse Clothing and Supply LLC,513 Hanover St,,Eugene,OR,97402,United States,,https://porterhouseclothing.com/,,,,,Yes,
loc_wgqvv2gx,Maison Simons -Vancouver,1060 Park Royal S,,Vancouver,BC,V7T 1A1,Canada,(604) 925-1840,http://www.simons.ca,,,,,Yes,
loc_7vx22kqq,Dutil Denim,303 West Cordova,,Vancouver,BC,V6B 1E5,Canada,(604) 688-8892,https://www.dutildenim.com/,,,,,Yes,
loc_gpvwwjq7,Gravitypope - Vancouver,24 West 7th Avenue,,Vancouver,BC,V5Y1L6,Canada,(604) 731-7647,http://www.gravitypope.com,,,,,Yes,
loc_jzpeemxe,REVOLVR/Portland,604 NW 13th Ave,,Portland,OR,97209,United States,(971) 221-9925,https://www.revolvrmens.com,,,,,Yes,
loc_rxmzzqpq,Machus,1101 SW Alder St,,Portland,OR,97205,United States,(503)206-8626,https://www.machusonline.com,,,,,Yes,
loc_v5v99nzm,Monochromatic,4067 N Williams,,Portland,OR,97227,United States,503-623-7021,https://wearemonochromatic.com/,,,,,Yes,
loc_wgqvv27x,Blue Owl Workshop LLC,124 NW Canal St. Ste. 1,,Seattle,WA,98107,United States,(206) 849-6500,https://www.blueowl.us/,,,,,Yes,
loc_8gkee8m6,Maple Street Denim,465 9th Street,,Oakland,CA,94607,United States,(510) 816-5326,https://www.msdoak.com/,,,,,Yes,
loc_5z5wwxjn,Slash,2840 College Ave,,Berkeley,CA,94705,United States,(510) 665-5994,https://www.slashdenim.online/,,,,,Yes,
loc_nxemm685,REVOLVR/Bend,945 NW Wall Street,Downtown Bend,Bend,OR,97701,United States,(541) 647-2627,https://www.revolvrmens.com,,,,,Yes,
loc_9ykrr8my,American Rag,160 S. La Brea Ave,,Los Angeles,CA,90036,United States,323-935-3154,https://americanrag.com/,,,,,Yes,
loc_2neqqgx9,Butterscotch,509 E. Broadway,,Long Beach,CA,90802,United States,(562) 432-9196,https://www.butterscotchlb.com,,,,,Yes,
loc_7vx22kgq,Zinnia Textiles,659 Baker St,,Nelson,BC,V1L 4J3,Canada,,http://www.zinniatextiles.ca,,,,,Yes,
loc_2neqqgw9,Gravitypope - Calgary,1126 17 Ave SW,,Calgary,AB,T2T0B4,Canada,(403) 209-0961,http://www.gravitypope.com,,,,,Yes,
loc_z7wppgxw,Leo Boutique,810B 16 Ave SW,,Calgary,AB,T2R 0S9,Canada,(403) 410-9236,,,,,,Yes,
loc_kkwmmx8q,Maison Simons - Calgary,304 8th Avenue SW Unit 100,,Calgary,AB,T2P 1C2,Canada,(613) 230-3630,http://www.simons.ca,,,,,Yes,
loc_eq7yy2zv,REVOLVR/Missoula,301 N. Higgins Ave,,Missoula,MT,59802,United States,(406) 830-5257,https://www.revolvrmens.com,,,,,Yes,
loc_6j8nnzv5,Maison Simons - Edmonton,8882 170 Street Northwest #2401,,Edmonton,AB,T5T 4M2,Canada,(780) 487-3630,http://www.simons.ca,,,,,Yes,
loc_eq7yy29v,Gravitypope - Edmonton,10414 82 Avenue NW,,Edmonton,AB,T6E2A2,Canada,(780) 988 1637,http://www.gravitypope.com,,,,,Yes,
loc_mg2xxk6v,Jaisel Menswear,8133 - 104 St.,,Edmonton,AB,T6E4E4,Canada,(780) 702-1388,https://jaisel.ca/,,,,,Yes,
loc_5z5wwxzn,Populess,619 4th Avenue South,,Lethbridge,AB,T1J0N6,Canada,(403) 393-8677,https://www.populess.com,,,,,Yes,
loc_xgyqqez6,The Stockist,875 E 900 S,,Salt Lake City,UT,84105,United States,801.532.3458,http://thestockistshop.com,,,,,Yes,
loc_p7gmm9kk,"Old Pueblo Denim, LLC",7144 S Oakbank Drive,,Tucson,AZ,85757,United States,(520)561-4257,https://www.oldpueblodenim.com,,,,,Yes,
loc_2neqqg59,REVOLVR/Bozeman,30 West Main Street,,Bozeman,MT,59715,United States,(406) 587-2304,https://www.revolvrmens.com,,,,,Yes,
loc_5z5wwx9n,Hardpressed,"224, 20th Street West",,Saskatoon,SK,S7M 0W9,Canada,(306) 384-5488,https://hardpressed.ca/,,,,,Yes,
loc_v5v99nwm,Casa Denim,Juan Sanchez Azcona 1447,Colonia Del Valle,Mexico City,Ciudad De Mexico,3100,Mexico,,https://casadenim.com,,,,,Yes,
